ID,xlocation,ylocation,zlocation,rocktype,gold,copper,gold1
175,231,191,0,2,137.6000061,,0.891
176,231,208,0,2,451.2000122,,0.452
177,229,228,0,2,639.5,,0.317
178,231,249,0,2,119.9000015,,0.317
179,231,268,0,1,27.20000076,,0.531
180,230,291,0,1,2.0999999,,0.707
181,249,9,0,2,167.699997,,0.78
182,250,30,0,2,147.8000031,,0.152
183,249,48,0,2,442.7000122,,0.907
184,251,69,0,2,487.7000122,,0.293
185,251,91,0,1,,,0.803
186,248,109,0,1,28.20000076,,0.549
187,249,130,0,1,,,0.649
188,248,150,0,1,18.29999924,,0.556
189,250,169,0,2,266.2999878,,0.84
190,250,190,0,2,502.2999878,,0.715
191,251,208,0,2,,,0.83
192,251,229,0,2,240.8999939,,0.347
193,249,251,0,2,234.3999939,,0.554
194,248,270,0,1,22.39999962,,0.652
195,250,291,0,1,45.59999847,,0.752
196,40,71,0,2,76.19999695,1.10000002,0.884
197,21,69,0,2,284.2999878,7.80000019,0.902
198,28,80,0,2,606.7999878,105.3000031,0.537
199,29,59,0,2,772.7000122,1512.699951,0.262
200,41,81,0,2,269.5,9.80000019,0.867
201,18,80,0,2,1036.699951,860.4000244,0.116
202,39,60,0,2,783.7999878,1207.300049,0.365
203,18,60,0,2,519.4000244,177.1000061,0.575
204,41,90,0,2,414.0899963,23.39999962,0.872
205,21,90,0,2,601.4000244,173.1000061,0.698
206,31,101,0,2,579.2000122,296.5,0.675
207,41,100,0,2,601.4000244,300.6000061,0.902
208,21,100,0,2,594.5999756,229.699997,0.533
209,60,8,0,2,550.0999756,258.2999878,0.334
210,40,11,0,2,99.40000153,2.20000005,0.121
211,51,18,0,2,233.6000061,14.19999981,0.614
212,59,20,0,2,14.39999962,0.1,0.041
213,41,21,0,2,115.9000015,3.0999999,0.31
214,59,90,0,2,506.2000122,126.9000015,0.064
215,51,101,0,2,502.3999939,73.80000305,0.447
216,50,81,0,2,608,210.699997,0.072
217,59,101,0,2,363.8999939,30.39999962,0.453
218,60,81,0,2,385.6000061,50.29999924,0.732
219,60,151,0,2,1521.099976,3691.800049,0.131
220,38,148,0,2,340.8999939,50,0.759
221,50,160,0,2,879.0999756,474.2000122,0.308
222,50,138,0,2,413.3999939,83,0.349
223,61,158,0,2,868.9000244,983.7999878,0.359
224,39,160,0,2,657.4000244,217.8000031,0.763
225,61,139,0,2,477,71.5,0.735
226,38,140,0,2,268.5,26.20000076,0.561
227,61,170,0,2,806.4000244,301.1000061,0.925
228,39,170,0,2,914.4000244,1548.5,0.514
229,49,179,0,2,811.5,234.8999939,0.324
230,58,179,0,2,1113.599976,2154.699951,0.952
231,39,181,0,2,1008,3637.399902,0.492
232,60,191,0,2,1528.099976,1930.900024,0.106
233,40,190,0,2,970.9000244,1391.099976,0.689
234,51,198,0,2,1109,1660.800049,0.059
235,60,198,0,2,1203.900024,1813.699951,0.127
236,40,200,0,2,641.2999878,249.1000061,0.862
237,58,208,0,2,720.5999756,1160.099976,0.638
238,38,209,0,2,665.2999878,547.7999878,0.498
239,50,221,0,2,543.2999878,1066.599976,0.96
240,61,220,0,1,101.0999985,595.5,0.599
241,39,221,0,2,615.9000244,420.8999939,0.607
242,59,268,0,2,543.0999756,1714.199951,0.826
243,41,271,0,2,868.7999878,828.7000122,0.18
244,49,278,0,2,583,1788.800049,0.122
245,51,260,0,2,670.7000122,3738.899902,0.226
246,59,281,0,1,148.8000031,675,0.516
247,39,279,0,2,798,1182.099976,0.127
248,59,258,0,1,194.8999939,983.2999878,0.618
249,38,260,0,2,635.2000122,766.5999756,0.09
250,78,28,0,2,781.5999756,565.4000244,0.641
251,60,29,0,2,238.6000061,12.69999981,0.271
252,70,41,0,2,472,84.80000305,0.008
253,70,21,0,2,58.09999847,0.30000001,0.873
254,78,41,0,2,600.2999878,124.5999985,0.417
255,61,41,0,2,64.90000153,0.80000001,0.778
256,78,20,0,2,505.8999939,70,0.828
257,80,131,0,2,801.5999756,421.1000061,0.918
258,58,128,0,2,158.8000031,4.30000019,0.85
259,71,140,0,2,606.2999878,175.1000061,0.025
260,70,121,0,2,30.70000076,,0.612
261,79,138,0,2,730.0999756,1694.5,0.869
262,80,119,0,2,421.2000122,35.09999847,0.593
263,61,121,0,2,104.8000031,1.79999995,0.06
264,79,149,0,2,44.09999847,,0.931
265,71,160,0,2,801.0999756,2535,0.012
266,78,159,0,2,742,3371.5,0.952
267,80,168,0,2,689.0999756,634.5999756,0.858
268,69,181,0,2,424.6000061,762.5999756,0.854
269,79,181,0,2,184.3000031,241.699997,0.795
270,80,188,0,2,245.199997,431.1000061,0.241
271,70,198,0,2,630,1992.099976,0.621
272,81,200,0,1,,,0.79
273,100,48,0,2,48.70000076,,0.364
274,80,49,0,2,757.4000244,473.7999878,0.947
275,90,58,0,2,739.7999878,280.2000122,0.679
276,88,39,0,2,520.7000122,76.80000305,0.54
277,100,60,0,2,,,0.149
278,80,59,0,2,,,0.614
279,101,38,0,2,730.5,464,0.377
280,101,68,0,2,383.1000061,97.80000305,0.651
281,79,70,0,2,508.7999878,103.9000015,0.028
282,90,79,0,2,573.2999878,138.3000031,0.661
283,100,78,0,2,372.3999939,70.90000153,0.16
284,81,81,0,2,585.7999878,197.199997,0.011
285,100,91,0,2,397.2000122,38.90000153,0.57
286,80,89,0,2,614.5,192.3000031,0.725
287,91,99,0,2,734.9000244,159.6000061,0.91
288,101,100,0,2,599.2999878,539.2999878,0.93
289,81,98,0,2,181.199997,1.29999995,0.46
290,98,111,0,2,744.7999878,1987,0.245
291,81,108,0,2,1022.299988,643,0.166
292,90,120,0,2,899.2999878,1290.300049,0.508
293,100,118,0,2,363.7000122,20.5,0.076
294,98,130,0,2,513.2000122,263.8999939,0.385
295,90,140,0,2,648.7999878,2147.5,0.822
296,99,138,0,2,645.4000244,1927.099976,0.365
297,121,131,0,2,13,0.2,0.697
298,111,140,0,2,190.3000031,48.79999924,0.613
299,108,121,0,2,893,3070.899902,0.83
300,120,141,0,2,104.699997,14.60000038,0.326
301,119,118,0,2,150.3999939,16.89999962,0.875
302,158,228,0,2,558.4000244,551.5999756,0.692
303,140,229,0,2,558,513.9000244,0.153
304,150,241,0,2,318.5,129.199997,0.812
305,151,218,0,2,394.2999878,239.199997,0.129
306,161,241,0,2,141.8999939,8.60000038,0.237
307,141,240,0,2,112.5,4.5999999,0.821
308,160,218,0,2,580.4000244,1118.699951,0.433
309,139,220,0,2,535.9000244,445.7000122,0.452
310,178,211,0,2,398.2000122,561.7999878,0.846
311,159,209,0,2,517.2999878,1480.800049,0.817
312,169,221,0,2,427.2000122,197.199997,0.444
313,170,198,0,2,367.6000061,1429.800049,0.703
314,180,218,0,2,374.7000122,77.5,0.509
315,178,201,0,2,144.8000031,81.30000305,0.693
316,158,198,0,2,169.8000031,154.5,0.001
317,219,88,0,2,235.1000061,136.8999939,0.129
318,198,90,0,2,611.7000122,735.7999878,0.807
319,211,100,0,2,746.4000244,710.5999756,0.7
320,208,80,0,2,436.6000061,495.7999878,0.778
321,221,99,0,2,540.9000244,586.7999878,0.502
322,199,98,0,2,801,1419,0.18
323,220,81,0,2,272.1000061,177.3000031,0.099
324,198,78,0,2,204.1000061,86,0.414
325,220,150,0,2,543.9000244,675,0.639
326,200,150,0,2,606.2000122,381.1000061,0.103
327,208,159,0,2,356,280.3999939,0.859
328,210,140,0,2,440.8999939,330.2999878,0.326
329,221,160,0,2,301.7999878,365.6000061,0.377
330,198,161,0,2,369.3999939,154.5,0.162
331,219,139,0,2,166.8000031,24.5,0.76
332,200,139,0,2,230.8999939,42.20000076,0.066
333,239,8,0,2,240.3000031,80.19999695,0.464
334,218,8,0,2,737.0999756,1373.400024,0.785
335,229,19,0,2,518.5999756,147.699997,0.855
336,239,18,0,2,390.7000122,186.699997,0.674
337,218,18,0,2,797.4000244,1429.699951,0.673
338,238,229,0,2,602.5999756,1510.900024,0.912
339,218,228,0,2,430.7999878,262.5,0.483
340,231,239,0,2,354.1000061,478,0.118
341,230,221,0,2,602.4000244,538.9000244,0.132
342,240,239,0,2,172.6000061,51.90000153,0.205
343,221,241,0,2,324.7999878,290.8999939,0.249
344,239,220,0,2,420.1000061,398.2999878,0.213
345,218,218,0,2,763.5,1236.699951,0.263
346,35,71,0,2,687.7999878,486.7999878,0.484
347,24,71,0,2,735.7999878,463.8999939,0.569
348,34,88,0,2,86.90000153,0.1,0.197
349,23,91,0,2,817,708.7999878,0.026
350,54,10,0,2,637.9000244,349.3999939,0.507
351,46,11,0,2,512.2999878,392,0.034
352,55,89,0,2,423.3999939,21.20000076,0.218
353,45,89,0,2,569.5999756,62.79999924,0.879
354,53,150,0,2,858,873,0.53
355,46,148,0,2,234,7.5,0.043
356,55,168,0,2,876,288.1000061,0.539
357,43,170,0,2,1082.800049,1174.900024,0.494
358,55,191,0,2,1392.599976,1004.700012,0.551
359,44,191,0,2,646.5999756,76.80000305,0.958
360,55,211,0,2,889.7000122,938.7999878,0.5
361,46,211,0,2,509.2000122,429.7000122,0.709
362,54,269,0,2,613.0999756,2922.399902,0.217
363,43,271,0,2,767.7999878,198.1000061,0.577
364,73,29,0,2,649.4000244,231.699997,0.281
365,64,31,0,2,235.3999939,10.80000019,0.815
366,75,129,0,2,782.7999878,639.2999878,0.729
367,64,129,0,2,227.3000031,8.60000038,0.807
368,73,149,0,2,722.9000244,696.0999756,0.469
369,64,151,0,2,974.5,664.0999756,0.056
370,75,171,0,2,512.2000122,144.8000031,0.842
371,63,168,0,2,1215.800049,1446.099976,0.295
372,73,188,0,2,687.0999756,2351.5,0.026
373,64,191,0,2,1259.900024,1257.599976,0.839
374,93,48,0,2,684.5,373.2000122,0.419
375,86,48,0,2,471.8999939,31.79999924,0.514
376,93,70,0,2,512.0999756,196.1000061,0.658
377,84,69,0,2,963.9000244,1210,0.604
378,93,90,0,2,874,1031.300049,0.799
379,86,89,0,2,582.4000244,117,0.789
380,96,111,0,2,553.2000122,360.5,0.815
381,85,108,0,2,937.2999878,1495.5,0.844
382,93,131,0,2,883.5999756,1336.800049,0.713
383,86,131,0,2,879,965.2999878,0.661
384,114,131,0,2,268.3999939,104.4000015,0.405
385,106,130,0,2,651.5,1957.699951,0.365
386,155,229,0,2,386.3999939,88.19999695,0.414
387,145,230,0,2,333.2000122,63.5,0.321
388,174,208,0,2,339.2000122,335,0.775
389,166,211,0,2,600.2999878,647.5999756,0.399
390,215,89,0,2,595.2000122,1457,0.536
391,205,89,0,2,809.5999756,955.7999878,0.455
392,215,148,0,2,293.2999878,67.69999695,0.071
393,204,151,0,2,697.2999878,444.5,0.388
394,236,9,0,2,515.9000244,1593.800049,0.553
395,223,9,0,2,613.2000122,277.6000061,0.123
396,236,229,0,2,665.2999878,1962,0.189
397,226,230,0,2,813.5999756,2279.800049,0.357
398,35,80,0,2,174.8000031,2,0.381
399,24,79,0,2,891.7999878,635.7000122,0.661
400,36,61,0,2,699.5999756,1547.800049,0.192
401,26,58,0,2,39.5,0.30000001,0.83
402,16,80,0,2,915.5999756,634.7999878,0.631
403,43,60,0,2,584,97.40000153,0.005
404,15,88,0,2,610,319.2999878,0.785
405,46,99,0,2,566.7999878,100.199997,0.508
406,36,99,0,2,38.09999847,,0.391
407,54,80,0,2,483,105,0.965
408,46,81,0,2,542.5999756,138.6000061,0.935
409,54,161,0,2,959.2999878,466.7000122,0.478
410,43,161,0,2,631.9000244,261.1000061,0.406
411,65,160,0,2,928.2999878,2252.5,0.465
412,33,160,0,2,431,48.59999847,0.843
413,36,170,0,2,672.2999878,605.5,0.07
414,53,179,0,2,1003.400024,425.3999939,0.141
415,44,180,0,2,876.4000244,937.7999878,0.261
416,65,181,0,2,734.0999756,589.2999878,0.705
417,34,180,0,2,366,110.199997,0.044
418,33,191,0,2,296.5,79.09999847,0.537
419,55,199,0,2,1069.199951,376.3999939,0.235
420,46,198,0,2,804.2999878,674.5999756,0.535
421,63,201,0,2,731.0999756,1363.300049,0.857
422,34,201,0,2,318.1000061,79.59999847,0.392
423,65,210,0,2,238.6000061,488.2999878,0.742
424,35,208,0,2,428.8999939,161.199997,0.112
425,46,220,0,2,737.4000244,1236.099976,0.298
426,36,219,0,2,429.1000061,152.3000031,0.725
427,35,271,0,2,597.4000244,397,0.761
428,53,258,0,2,442.6000061,1696.400024,0.241
429,46,260,0,2,765.2000122,779.7999878,0.3
430,45,281,0,2,605.5,934.7999878,0.381
431,35,278,0,2,795.9000244,1588.300049,0.546
432,35,259,0,2,235,18.89999962,0.037
433,84,30,0,2,562,85.30000305,0.263
434,84,41,0,2,411.3999939,34,0.17
435,75,40,0,2,696.7000122,356.2000122,0.918
436,73,141,0,2,790.9000244,607.2999878,0.746
437,63,140,0,2,696.5,357.7999878,0.059
438,84,138,0,2,687.2999878,893.4000244,0.835
439,76,159,0,2,597.5,997.2999878,0.725
440,84,161,0,2,437.3999939,387.2000122,0.173
441,86,169,0,2,317.3999939,761.7000122,0.916
442,73,199,0,2,470.7000122,5190.100098,0.002
443,76,51,0,2,498.7000122,101.8000031,0.871
444,94,61,0,2,778.7000122,1354,0.489
445,85,60,0,2,523.2999878,117.5,0.187
446,104,38,0,2,617.0999756,200.199997,0.055
447,93,41,0,2,395.2999878,28.39999962,0.602
448,75,90,0,2,518.9000244,113,0.39
449,94,101,0,2,383.7000122,12.89999962,0.335
450,85,100,0,2,704.0999756,126,0.98
451,104,109,0,2,562.2999878,908.5999756,0.857
452,75,110,0,2,655.2999878,349,0.668
453,95,121,0,2,823.5999756,548.4000244,0.343
454,83,119,0,2,847.7000122,701.4000244,0.653
455,94,140,0,2,607.5,723.2000122,0.556
456,103,139,0,2,491.2000122,565.2999878,0.55
457,114,120,0,2,319.5,154.199997,0.958
458,104,118,0,2,594,289.2000122,0.155
459,196,91,0,2,433.5,254.1000061,0.258
460,215,101,0,2,209.6000061,4,0.207
461,204,101,0,2,533.7999878,127.3000031,0.407
462,196,101,0,2,592.4000244,419.1000061,0.034
463,195,149,0,2,478.7000122,141.8999939,0.914
464,216,11,0,2,660.2000122,1424.800049,0.024
465,225,19,0,2,832.2000122,512.2000122,0.387
466,214,19,0,2,242.5,15.60000038,0.909
467,245,231,0,2,161.199997,26.10000038,0.294
468,233,220,0,2,626,959.7000122,0.282
469,226,221,0,2,800.0999756,1681.5,0.871
470,213,218,0,2,482.6000061,476.2000122,0.28
